STATION,NAME,DATE,PRCP,TMAX,TMIN
UK000056225,"OXFORD, UK",08/12/1950,0,48,35
UK000056225,"OXFORD, UK",09/12/1950,0.02,50,31
UK000056225,"OXFORD, UK",10/12/1950,0.3,41,40
UK000056225,"OXFORD, UK",11/12/1950,0,39,33
UK000056225,"OXFORD, UK",12/12/1950,0.01,36,33
UK000056225,"OXFORD, UK",13/12/1950,0,36,28
UK000056225,"OXFORD, UK",14/12/1950,0.07,32,30
UK000056225,"OXFORD, UK",15/12/1950,0,36,24
UK000056225,"OXFORD, UK",16/12/1950,0.1,38,24
UK000056225,"OXFORD, UK",17/12/1950,0.01,38,28
UK000056225,"OXFORD, UK",18/12/1950,0.18,41,31
UK000056225,"OXFORD, UK",19/12/1950,0,38,32
UK000056225,"OXFORD, UK",20/12/1950,0,37,34
UK000056225,"OXFORD, UK",21/12/1950,0,33,29
UK000056225,"OXFORD, UK",22/12/1950,0.02,34,28
UK000056225,"OXFORD, UK",23/12/1950,0,35,31
UK000056225,"OXFORD, UK",24/12/1950,0.05,38,31
UK000056225,"OXFORD, UK",25/12/1950,0,36,33
UK000056225,"OXFORD, UK",26/12/1950,0.01,35,29
UK000056225,"OXFORD, UK",27/12/1950,0,35,32
UK000056225,"OXFORD, UK",28/12/1950,0,33,30
UK000056225,"OXFORD, UK",29/12/1950,0,36,24
UK000056225,"OXFORD, UK",30/12/1950,0.11,39,27
UK000056225,"OXFORD, UK",31/12/1950,0.16,36,28
UK000056225,"OXFORD, UK",01/01/1951,0.16,34,33
UK000056225,"OXFORD, UK",02/01/1951,0.17,40,31
UK000056225,"OXFORD, UK",03/01/1951,0.15,50,30
UK000056225,"OXFORD, UK",04/01/1951,0.14,51,30
UK000056225,"OXFORD, UK",05/01/1951,0.78,51,39
UK000056225,"OXFORD, UK",06/01/1951,0.07,48,45
UK000056225,"OXFORD, UK",07/01/1951,0.3,48,40
UK000056225,"OXFORD, UK",08/01/1951,0.31,43,40
UK000056225,"OXFORD, UK",09/01/1951,0,48,35
UK000056225,"OXFORD, UK",10/01/1951,0.34,49,35
UK000056225,"OXFORD, UK",11/01/1951,0.08,45,36
UK000056225,"OXFORD, UK",12/01/1951,0.21,45,36
UK000056225,"OXFORD, UK",13/01/1951,0.02,43,37
UK000056225,"OXFORD, UK",14/01/1951,0.13,45,38
UK000056225,"OXFORD, UK",15/01/1951,0,53,36
UK000056225,"OXFORD, UK",16/01/1951,0.08,51,34
UK000056225,"OXFORD, UK",17/01/1951,0.02,50,35
UK000056225,"OXFORD, UK",18/01/1951,0.02,50,45
UK000056225,"OXFORD, UK",19/01/1951,0,50,36
UK000056225,"OXFORD, UK",20/01/1951,0,48,41
UK000056225,"OXFORD, UK",21/01/1951,0,46,42
UK000056225,"OXFORD, UK",22/01/1951,0,46,42
UK000056225,"OXFORD, UK",23/01/1951,0,44,40
UK000056225,"OXFORD, UK",24/01/1951,0,42,39
UK000056225,"OXFORD, UK",25/01/1951,0.07,44,36
UK000056225,"OXFORD, UK",26/01/1951,0,41,38
UK000056225,"OXFORD, UK",27/01/1951,0,38,29
UK000056225,"OXFORD, UK",28/01/1951,0.01,33,27
UK000056225,"OXFORD, UK",29/01/1951,0,35,27
UK000056225,"OXFORD, UK",30/01/1951,0,41,26
UK000056225,"OXFORD, UK",31/01/1951,0.01,42,24
UK000056225,"OXFORD, UK",01/02/1951,0.02,44,27
UK000056225,"OXFORD, UK",02/02/1951,0.23,41,38
UK000056225,"OXFORD, UK",03/02/1951,0.24,43,41
UK000056225,"OXFORD, UK",04/02/1951,0.51,47,33
UK000056225,"OXFORD, UK",05/02/1951,0,44,39
UK000056225,"OXFORD, UK",06/02/1951,0.01,47,33
UK000056225,"OXFORD, UK",07/02/1951,0.06,49,34
UK000056225,"OXFORD, UK",08/02/1951,0,42,35
UK000056225,"OXFORD, UK",09/02/1951,0.13,43,35
UK000056225,"OXFORD, UK",10/02/1951,0.25,40,34
UK000056225,"OXFORD, UK",11/02/1951,0.19,51,36
UK000056225,"OXFORD, UK",12/02/1951,0,40,35
UK000056225,"OXFORD, UK",13/02/1951,0.08,40,30
UK000056225,"OXFORD, UK",14/02/1951,0.04,44,32
UK000056225,"OXFORD, UK",15/02/1951,0.13,49,32
UK000056225,"OXFORD, UK",16/02/1951,0.4,44,34
UK000056225,"OXFORD, UK",17/02/1951,0.09,48,40
UK000056225,"OXFORD, UK",18/02/1951,0.15,45,34
UK000056225,"OXFORD, UK",19/02/1951,0.02,45,36
UK000056225,"OXFORD, UK",20/02/1951,0.23,44,36
UK000056225,"OXFORD, UK",21/02/1951,0.02,44,34
UK000056225,"OXFORD, UK",22/02/1951,0,47,34
UK000056225,"OXFORD, UK",23/02/1951,0,44,36
UK000056225,"OXFORD, UK",24/02/1951,0.41,41,36
UK000056225,"OXFORD, UK",25/02/1951,0,42,36
UK000056225,"OXFORD, UK",26/02/1951,0.24,45,30
UK000056225,"OXFORD, UK",27/02/1951,0,48,33
UK000056225,"OXFORD, UK",28/02/1951,0,47,31
UK000056225,"OXFORD, UK",01/03/1951,0.09,45,30
UK000056225,"OXFORD, UK",02/03/1951,0.05,40,34
UK000056225,"OXFORD, UK",03/03/1951,0,44,29
UK000056225,"OXFORD, UK",04/03/1951,0,45,31
UK000056225,"OXFORD, UK",05/03/1951,0.06,46,29
UK000056225,"OXFORD, UK",06/03/1951,0.12,42,31
UK000056225,"OXFORD, UK",07/03/1951,0.21,39,38
UK000056225,"OXFORD, UK",08/03/1951,0.06,36,34
UK000056225,"OXFORD, UK",09/03/1951,0.04,38,34
UK000056225,"OXFORD, UK",10/03/1951,0.03,41,33
UK000056225,"OXFORD, UK",11/03/1951,0.18,46,34
UK000056225,"OXFORD, UK",12/03/1951,0.12,51,35
UK000056225,"OXFORD, UK",13/03/1951,0.45,49,39
UK000056225,"OXFORD, UK",14/03/1951,0,54,43
UK000056225,"OXFORD, UK",15/03/1951,0,50,40
UK000056225,"OXFORD, UK",16/03/1951,0.36,55,32
UK000056225,"OXFORD, UK",17/03/1951,0.13,50,39
UK000056225,"OXFORD, UK",18/03/1951,0.1,46,43
UK000056225,"OXFORD, UK",19/03/1951,0.07,44,38
UK000056225,"OXFORD, UK",20/03/1951,0,51,30
UK000056225,"OXFORD, UK",21/03/1951,0.64,55,35
UK000056225,"OXFORD, UK",22/03/1951,0,53,37
UK000056225,"OXFORD, UK",23/03/1951,0.48,46,48
UK000056225,"OXFORD, UK",24/03/1951,0.01,48,37
UK000056225,"OXFORD, UK",25/03/1951,0.07,49,32
UK000056225,"OXFORD, UK",26/03/1951,0.16,45,39
UK000056225,"OXFORD, UK",27/03/1951,0.01,45,35
UK000056225,"OXFORD, UK",28/03/1951,0,44,31
UK000056225,"OXFORD, UK",29/03/1951,0,45,33
UK000056225,"OXFORD, UK",30/03/1951,0,49,31
UK000056225,"OXFORD, UK",31/03/1951,0.11,49,29
UK000056225,"OXFORD, UK",01/04/1951,0.19,50,37
UK000056225,"OXFORD, UK",02/04/1951,0.03,51,35
UK000056225,"OXFORD, UK",03/04/1951,0.04,54,36
UK000056225,"OXFORD, UK",04/04/1951,0.01,54,44
UK000056225,"OXFORD, UK",05/04/1951,0.19,55,38
UK000056225,"OXFORD, UK",06/04/1951,0.21,45,41
UK000056225,"OXFORD, UK",07/04/1951,0.42,48,38
UK000056225,"OXFORD, UK",08/04/1951,0.73,44,33
UK000056225,"OXFORD, UK",09/04/1951,0.21,49,40
UK000056225,"OXFORD, UK",10/04/1951,0.02,51,37
UK000056225,"OXFORD, UK",11/04/1951,0,53,34
UK000056225,"OXFORD, UK",12/04/1951,0.34,51,43
UK000056225,"OXFORD, UK",13/04/1951,0.05,49,37
UK000056225,"OXFORD, UK",14/04/1951,0,52,35
UK000056225,"OXFORD, UK",15/04/1951,0,53,33
UK000056225,"OXFORD, UK",16/04/1951,0,54,41
UK000056225,"OXFORD, UK",17/04/1951,0,61,33
